"id","last_updated","kaycode","full_name","prev_id","sex","birthdate","status","mom","dad","number_littermates","litrank","eartag","notes","entered_by"
"a1041",2016-03-08,NA,"a1041",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen in hz territory @ c session w/ lions and hz h",NA
"a1045",2016-03-12,NA,"a1045",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen in happy zebra territory on an elephant carca",NA
"a1048",2016-03-01,NA,"a1048",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen in serena north territory",NA
"a105",NA,NA,"alien 105",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"a1051",2016-03-31,NA,"a1051",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen on a topi carcass with hz hyenas",NA
"a1053",2016-03-31,NA,"a1053",NA,NA,NA,NA,NA,NA,NA,NA,NA,"appears to be a cub/sub of af1052",NA
"a1054",2016-03-19,NA,"a1054",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen at a carcass with hz hyenas",NA
"a1055",2016-03-31,NA,"a1055",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen on a hippo carcase w/ hz hyenas 5/29/2015, al",NA
"a1056",2016-03-31,NA,"a1056",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen on a hippo carcase w/ hz hyenas 5/29/2015, al",NA
"a1057",2016-07-19,NA,"a1057",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen at a seena north clan carcass session s17008",NA
"a1058",2016-09-04,NA,"a1058",NA,"u",NA,NA,NA,NA,NA,NA,NA,"seen is serena south",NA
"a1059",2016-05-27,"1059","a1059","unid4",NA,NA,NA,NA,NA,NA,NA,NA,"skull found",NA
"a106",NA,NA,"alien 106",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"a1060",2016-12-04,NA,"a1060",NA,"f",NA,NA,NA,NA,NA,NA,NA,"seen in serena south, noted as a ""she"" 4/25/2016",NA
"a1061",2016-05-27,"1061","a1061","unid5",NA,NA,NA,NA,NA,NA,NA,NA,"skull found",NA
"a1062",2017-02-07,NA,"al1062",NA,"u",NA,"t",NA,NA,NA,NA,NA,"seen in serena north territory",NA
"a1063",2017-03-03,NA,"al1063",NA,"u",NA,"t",NA,NA,NA,NA,NA,"seen in hz aloine on 8/24/2016",NA
"a1064",2017-01-29,NA,"al1064",NA,NA,NA,"o",NA,NA,NA,NA,NA,"mentioned in serena south notes on 7/14/2016 alone",NA
"a1065",2017-03-03,NA,"al1065",NA,"u",NA,"t",NA,NA,NA,NA,NA,"seen at a kill with lions and hz animals in hz ter",NA
"a1068",NA,NA,"al1068",NA,"u",NA,"o",NA,NA,NA,NA,NA,"seen in hz territory at a kill with hz hyenas and ",NA
"a1069",NA,NA,"al1069",NA,"u",NA,"o",NA,NA,NA,NA,NA,"seen in hz territory at a kill with hz hyenas and ",NA
"a107",NA,NA,"alien 107",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"a1071",NA,NA,"al1071",NA,"u",NA,"o",NA,NA,NA,NA,NA,"seen in hz territory at a kill with hz hyenas and ",NA
"a1072",NA,NA,"a1072",NA,NA,NA,"o",NA,NA,NA,NA,NA,"seen in hz territory on an old carcass",NA
"a1074",2017-05-05,NA,"al1074",NA,"u",NA,"t",NA,NA,NA,NA,NA,"seen in north territory , walked right up to car w",NA
"a1075",2017-04-26,"1229","al1075",NA,"u",NA,"t",NA,NA,NA,NA,NA,"seen 2/7/2017 @ north waterhole in hz territory, p",NA
"a1076",2017-05-26,NA,"a1076",NA,"u",NA,NA,NA,NA,NA,NA,NA,"seen in happy zebra territory 3/6/2017",NA
"a1077",2017-05-22,NA,"a1077",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen gaunt in south territioy 3/11/2017",NA
"a1078",2018-02-07,NA,"af1078",NA,"f",NA,NA,NA,NA,NA,NA,NA,"seen in the middle of north territory 7/5/2017  af",NA
"a1079",2018-02-07,NA,"af1079",NA,"f",NA,NA,NA,NA,NA,NA,NA,"seen in the middle of north territory 7/5/2017  af",NA
"a108",NA,NA,"alien 108",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"a1080",2018-02-07,NA,"af1080",NA,"f",NA,NA,NA,NA,NA,NA,NA,"seen in the middle of north territory 7/5/2017  af",NA
"a1081",2018-01-14,NA,"al1081",NA,"u",NA,NA,NA,NA,NA,NA,NA,"seen in south 7/9/2017 male?",NA
"a1082",2018-02-22,NA,"al1082",NA,"u",NA,NA,NA,NA,NA,NA,NA,"seen feeding on a gnu carcass 7/28/2017 in north t",NA
"a1084",2018-01-23,"1261","al1084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a1085",2018-01-13,NA,"al1085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"a1086",2018-02-08,NA,"al1086",NA,"u",NA,NA,NA,NA,NA,NA,NA,"seen in north @ stanky junction on 7/8/2017",NA
"a1087",2018-01-26,NA,"al1087",NA,NA,NA,"o",NA,NA,NA,NA,NA,"seen at border of south territory on 8/20/2017",NA
"a1088",2018-01-26,NA,"al1088",NA,NA,NA,"o",NA,NA,NA,NA,NA,"seen at border of south territory on 8/20/2017",NA
"a1089",2018-01-26,NA,"al1089",NA,NA,NA,"o",NA,NA,NA,NA,NA,"seen at border of south territory on 8/20/2017",NA
"a1091",2018-02-18,NA,"al1091",NA,"u",NA,NA,NA,NA,NA,NA,NA,"first seen in north 8/13/2017",NA
"a1092",2018-01-13,NA,"al1092",NA,"u",NA,NA,NA,NA,NA,NA,NA,"seen in hz 9/22/2017",NA
"a1094",NA,NA,"al1094",NA,"u",NA,"o",NA,NA,NA,NA,NA,"seen in hz 11/4/2017",NA
"a1095",2018-04-16,NA,"al1095",NA,"u",NA,NA,NA,NA,NA,NA,NA,"seen in serena south 12/4/2018",NA
"a1096",2018-09-12,NA,"al1096",NA,"m",NA,"o",NA,NA,NA,NA,NA,"alien male dfs 4/2/2018 in serena south",NA
"a110",NA,NA,"alien 110",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"a111",NA,NA,"alien 111",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"a112",NA,NA,"alien 112",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"a1123",2016-05-27,"1123","a1123","unid8",NA,NA,NA,NA,NA,NA,NA,NA,"poop",NA
"a113",NA,NA,"alien 113",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"a114",NA,NA,"alien 114",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"a36b",NA,NA,"al36b",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"a43b",NA,NA,"al43b",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"aaa",2016-11-11,NA,"addis ababa",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"aaf1",2008-03-25,"201","aaf1",NA,"f",NA,"d",NA,NA,NA,NA,NA,NA,NA
"aaf2",2008-03-25,"199","aaf2",NA,"f",NA,"d",NA,NA,NA,NA,NA,NA,NA
"ab",2016-07-18,NA,"arrow butt",NA,"m",1987-10-01,"r","02",NA,"0","1",NA,NA,NA
"abat",2016-06-07,NA,"aquabat",NA,"f",2015-11-17,"r","arro",NA,"1","1",NA,NA,NA
"abby",2014-10-18,NA,"westminster abbey",NA,"u",2010-10-09,"r","lcs",NA,"1",NA,NA,"was known as acme in south for short time unsucces",NA
"abe",NA,"2056","abraham",NA,"m",2004-04-14,"r",NA,NA,NA,NA,NA,"amboseli",NA
"aber",2008-03-25,NA,"aberdeen",NA,"u",2003-02-23,"r","eco",NA,NA,NA,NA,NA,NA
"abid",2016-05-10,"946","abidjan","al501","m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"aca",2016-02-01,NA,"acadia",NA,"f",2007-10-24,"r","sbl",NA,NA,NA,NA,NA,NA
"acc",2015-05-20,NA,"accra","al392","m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"ach",NA,"116","achilles",NA,"m",NA,"f",NA,NA,NA,NA,NA,NA,NA
"acia",2015-12-17,NA,"acacia",NA,"u",2011-11-19,"r","obam",NA,NA,NA,NA,NA,NA
"acin",2015-09-14,"1149","astacin",NA,"m",2013-12-22,"r","silk",NA,"0",NA,NA,"very very thin",NA
"acme",2014-06-14,NA,"acme","rnr","m",NA,"i",NA,NA,NA,NA,NA,"unsuccessful dispersal, ended up in prozac, rename",NA
"acne",2016-09-08,"966","acne",NA,"f",2015-06-06,"r","ffl",NA,"1","1",NA,NA,NA
"aco",NA,"922","acorn",NA,"m",2007-09-27,"r","chip",NA,"1","2",NA,NA,NA
"acon",2016-02-01,"607","aconcagua",NA,"m",2009-12-18,"r","hel",NA,"1","1",NA,"seen with te on 1/7/2014, dispersed to te, seen mu",NA
"acr",NA,NA,"anchor",NA,NA,NA,NA,NA,NA,NA,NA,NA,"amboseli",NA
"acro",2014-10-18,"1051","acropolis",NA,"f",2010-09-09,"r","joni",NA,"1","2",NA,NA,NA
"adam",2016-11-18,NA,"adam",NA,"m",NA,"t",NA,NA,NA,NA,NA,NA,NA
"add",2016-03-07,NA,"adder",NA,"u",2003-09-09,"r","jut",NA,NA,NA,NA,"talek east",NA
"ade",2016-03-07,"787","adelaide","am128","m",NA,"i",NA,NA,NA,NA,NA,"talek east",NA
"adl",2007-10-02,NA,"addle addie",NA,"u",2011-02-28,"r","pike",NA,"0",NA,NA,NA,NA
"adm",2007-10-02,NA,"admiral","rigby","f",2007-06-01,"r",NA,NA,NA,NA,NA,NA,NA
"adon",2015-04-27,"355","adonis",NA,"f",2001-03-20,"r","mrph",NA,"1","2","352","talek west. master list: sex=u dengrad calced by p",NA
"adr",2008-04-01,"117","adrianne",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"ads",2016-09-08,"955","adidas",NA,"m",2015-02-11,"r","hex",NA,"0",NA,NA,NA,NA
"ae",2007-10-02,NA,"amelia earhart",NA,"f",NA,"r",NA,NA,NA,NA,NA,NA,NA
"aero",2012-05-05,NA,"aero",NA,NA,2009-11-29,"r","wnd",NA,NA,NA,NA,NA,NA
"af01",2008-04-01,NA,"alien female #1",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af02",2008-04-01,NA,"alien female #2",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af03",2008-04-01,NA,"alien female 03",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af04",2008-04-01,NA,"alien female 04",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af05",2008-04-01,NA,"alien female 05",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af06",2008-04-01,NA,"alien female 06",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af07",2008-04-01,NA,"alien female 07",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af08",2008-04-01,NA,"alien female 08",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af09",2008-04-01,NA,"alien female 09",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af10",2008-04-01,NA,"alien female 10",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af1043",2016-02-01,NA,"af1043",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af1046",2016-03-12,NA,"af1046",NA,"f",NA,NA,NA,NA,NA,NA,NA,"seen in happy zebra territory on an elephant carca",NA
"af1049",2016-03-31,NA,"af1049",NA,"f",NA,NA,NA,NA,NA,NA,NA,"seen in happy zebra territory on an elephant carca",NA
"af1052",2016-03-31,NA,"af1052",NA,"f",NA,NA,NA,NA,NA,NA,NA,"seen with cub in hz territory",NA
"af11",2008-04-01,NA,"alien female 11",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af12",2008-04-01,NA,"alien female 12",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af13",2008-04-01,NA,"alien female 13",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af14",2008-04-01,NA,"alien female 14",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af15",2008-04-01,NA,"alien female 15",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af16",2008-04-01,NA,"alien female 16",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af17",2008-04-01,NA,"alien female 17",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af18",2008-04-01,NA,"alien female 18",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af19",2008-04-01,NA,"alien female 19",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af20",2008-04-01,NA,"alien female 20",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af21",2015-11-12,NA,"alien female 21","vzw","f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af22",2008-04-01,NA,"alien female 22",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af23",2008-04-01,NA,"alien female 23",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af24",NA,NA,"af24",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af25",NA,NA,"af25",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af26",NA,NA,"af26",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af27",NA,NA,"af27",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af28",NA,NA,"af28",NA,"f",NA,"t",NA,NA,NA,NA,NA,NA,NA
"af29",NA,NA,"af29",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af30",NA,NA,"af30",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af31",NA,NA,"af31",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af32",NA,NA,"af32",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af33",NA,NA,"af33",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af34",NA,NA,"af34",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af35",NA,NA,"af35",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af36",NA,NA,"af36",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af37",NA,NA,"af37",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af38",NA,NA,"af38",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af39",NA,NA,"af39",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af40",NA,"321","af40",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af41",NA,NA,"alien female 41",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af42",NA,NA,"af42",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af43",NA,NA,"af43",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af44",NA,NA,"af44",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af45",NA,NA,"af45",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af46",NA,NA,"af46",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af48",NA,NA,"af48",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af49",NA,NA,"af49",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af50",NA,NA,"af50",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af51",NA,NA,"af51",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af52",NA,NA,"af52",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af53",NA,NA,"af53",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af54",NA,NA,"alien female 54",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af55",NA,NA,"alien female 55",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af56",NA,NA,"alien female 56",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af57",NA,NA,"alien female 57",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af58",NA,NA,"alien female 58",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af59",NA,NA,"alien female 59",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af60",NA,NA,"alien female 60",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af61",NA,NA,"alien female 61",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af62",NA,NA,"alien female 62",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af63",NA,NA,"alien female 63",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af64",NA,NA,"alien female 64",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af65",NA,NA,"alien female 65",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af66",NA,NA,"alien female 66",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af67",NA,NA,"alien female 67",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af68",NA,NA,"alien female 68",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af69",NA,NA,"alien female 69",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af70",NA,NA,"alien female70",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af71",NA,NA,"alien female 71",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af72",NA,NA,"alien female 72",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af73",NA,NA,"alien female 73",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af74",NA,NA,"alien female 74",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af75",NA,NA,"alien female 75",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af77",NA,NA,"alien female 77",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af78",NA,NA,"alien female 78",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af79",NA,NA,"alien female 79",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af80",NA,NA,"alien female 80",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"af83",NA,NA,"alien female 83",NA,"f",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ag",2009-09-23,NA,"al gore",NA,"f",2007-10-23,"r","oscr",NA,"0",NA,NA,NA,NA
"agi",NA,NA,"agassi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"amboseli",NA
"agl",NA,NA,"angel",NA,NA,NA,NA,NA,NA,NA,NA,NA,"amboseli; lakeview clan",NA
"aglc",NA,NA,"angel cub",NA,NA,NA,NA,NA,NA,NA,NA,NA,"amboseli",NA
"agp",NA,"99","aged ""p""",NA,"m",1991-11-06,"r","ot","mrb","0","1",NA," dengrad calced by pat",NA
"ahb",2007-10-02,NA,"ahab",NA,"m",NA,"r",NA,NA,NA,NA,NA,NA,NA
"ahi",2016-12-12,"526","ahi",NA,"m",2013-01-25,"r","hrpy",NA,"1",NA,NA,NA,NA
"ahus",2018-08-02,NA,"aarhus","al524","m",NA,"i",NA,NA,NA,NA,NA,"md clan",NA
"akba",2016-03-07,"539","akiba",NA,"m",2013-01-12,"r","lu",NA,"1","1",NA,NA,NA
"al",2008-04-01,NA,"alien 503",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al0001",2014-09-23,NA,"al1001",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al0002",2014-09-23,NA,"al1002",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al01",2008-03-29,NA,"alien 01",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al02",2008-03-29,NA,"alien 02",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al03",2008-03-29,NA,"alien 03",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al04",2008-03-29,NA,"alien 04",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al05",2008-03-29,NA,"alien 05",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al06",2008-03-29,NA,"alien 06",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al07",2008-03-29,NA,"alien 07",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al08",2008-03-29,NA,"alien 08",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al09",2008-03-29,NA,"alien 09",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al10",NA,NA,"alien 10",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al1005",2014-12-18,NA,"al1005",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen in hz territory",NA
"al1007",2015-02-19,NA,"al1007",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen with chg in south territory",NA
"al1008",2015-01-02,NA,"al1008",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen in serena north territory",NA
"al1009",2015-03-22,"1109","al1009",NA,"m",NA,"i",NA,NA,NA,NA,NA,NA,NA
"al101",2008-04-01,NA,"alien 101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"al1012",2015-04-21,NA,"al012",NA,"u",NA,NA,NA,NA,NA,NA,NA,"seen in hz territory",NA
"al1013",2015-01-07,NA,"al1013",NA,NA,NA,NA,NA,NA,NA,NA,NA,"oloololo clan probably, was seen with a definite o",NA
"al1015",2015-03-26,NA,"al1015",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen at a kill w/ south animals",NA
"al1017",2015-05-02,NA,"al1017",NA,NA,NA,NA,NA,NA,NA,NA,NA,"has right a/b slice",NA
"al1023",2015-05-10,NA,"al1023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"al1025",2015-05-11,NA,"al1025",NA,"u",NA,NA,NA,NA,NA,NA,NA,NA,NA
"al1028",NA,NA,"a1028",NA,NA,NA,NA,NA,NA,NA,NA,NA,"an alien in the hz photo book",NA
"al1030",2016-01-03,NA,"al1030",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen in serena south territory",NA
"al1034",2015-11-08,NA,"a1034",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen in serena north",NA
"al1036",2015-12-16,NA,"a1036",NA,NA,NA,"t",NA,NA,NA,NA,NA,"seen again 1/6/2015 in north territory",NA
"al1037",2016-02-13,NA,"a1037",NA,NA,NA,"t",NA,NA,NA,NA,NA,"seen in serena north on 1/15/2015",NA
"al1038",NA,"1155","al1038",NA,NA,NA,NA,NA,NA,NA,NA,NA,"poop collected, there is another animal 1038 shot ",NA
"al1047",2016-01-13,NA,"a1047",NA,NA,NA,NA,NA,NA,NA,NA,NA,"seen in south clan territory",NA
"al1090",2018-01-11,NA,"al1090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"al11",2008-03-29,NA,"alien 11",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al115",2008-04-01,NA,"alien 115",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al116",2008-04-01,NA,"alien 116",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al117",2008-04-01,NA,"alien 117",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al118",2008-04-01,NA,"alien 118",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al119",2008-04-01,NA,"alien 119",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al12",2008-03-29,NA,"alien 12",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al120",2008-04-01,NA,"alien 120",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al121",2008-04-01,NA,"alien 121",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
"al122",2008-04-01,NA,"alein 122",NA,"u",NA,"t",NA,NA,NA,NA,NA,NA,NA
